method,measurement,degradation_type,severity_level,q_hat,n_calibration_total,n_calibration_scores_finite,n_test,empirical_coverage,coverage_gap,mean_interval_width,low_n_warning
mondrian,nc_ratio,low_resolution,0.25,0.48368064916288267,183,183,184,0.907608695652174,0.007608695652173925,0.8471437799692909,False
global,nc_ratio,low_resolution,0.5,0.49894556410868807,183,183,184,0.907608695652174,0.007608695652173925,0.8707841327439726,False
mondrian,nc_ratio,low_resolution,0.5,0.4405283556118009,183,183,184,0.8913043478260869,-0.008695652173913104,0.7797513640517368,False
global,nc_ratio,low_resolution,0.75,0.49894556410868807,183,183,184,0.907608695652174,0.007608695652173925,0.8700340340625254,False
mondrian,nc_ratio,low_resolution,0.75,0.4056636272476857,183,183,184,0.8641304347826086,-0.035869565217391375,0.7230581741881907,False
global,circularity,contrast_change,0.75,0.25242161435469357,183,182,182,0.9010989010989011,0.001098901098901095,0.4827163467079916,False
mondrian,circularity,contrast_change,0.75,0.22089571105166284,183,182,182,0.8791208791208791,-0.020879120879120916,0.4299658960083529,False
global,circularity,contrast_change,1.25,0.25242161435469357,183,182,183,0.9180327868852459,0.0180327868852459,0.4864779300237595,False
mondrian,circularity,contrast_change,1.25,0.23462686175724412,183,182,183,0.9016393442622951,0.0016393442622950616,0.4568792221310043,False
global,circularity,contrast_change,1.5,0.25242161435469357,183,182,184,0.8586956521739131,-0.04130434782608694,0.48973331943662424,False
mondrian,circularity,contrast_change,1.5,0.2700617109494903,183,182,184,0.8858695652173914,-0.01413043478260867,0.5189266769857211,False
global,circularity,gaussian_blur,1.0,0.25242161435469357,183,182,183,0.8797814207650273,-0.020218579234972722,0.48196644981696235,False
mondrian,circularity,gaussian_blur,1.0,0.23462686175724412,183,182,183,0.8688524590163934,-0.031147540983606614,0.4530841196397904,False
global,circularity,gaussian_blur,2.0,0.25242161435469357,183,182,183,0.907103825136612,0.0071038251366120075,0.47661421078115,False
mondrian,circularity,gaussian_blur,2.0,0.23116681271315354,183,182,183,0.8961748633879781,-0.0038251366120218844,0.4430618705427591,False
global,circularity,gaussian_blur,3.0,0.25242161435469357,183,182,183,0.912568306010929,0.012568306010928953,0.4739738771404113,False
mondrian,circularity,gaussian_blur,3.0,0.22433508146234138,183,182,183,0.8961748633879781,-0.0038251366120218844,0.4302592891141838,False
global,circularity,gaussian_noise,10.0,0.25242161435469357,183,182,183,0.8852459016393442,-0.014754098360655776,0.49290193710607383,False
mondrian,circularity,gaussian_noise,10.0,0.2564388846657334,183,182,183,0.8852459016393442,-0.014754098360655776,0.4997765270196316,False
global,circularity,gaussian_noise,20.0,0.25242161435469357,183,182,183,0.8524590163934426,-0.04754098360655745,0.5016768950881431,False
mondrian,circularity,gaussian_noise,20.0,0.3119719415291308,183,182,183,0.9016393442622951,0.0016393442622950616,0.6076320222326693,False
global,circularity,gaussian_noise,30.0,0.25242161435469357,183,180,183,0.6284153005464481,-0.2715846994535519,0.4924403180145507,False
mondrian,circularity,gaussian_noise,30.0,0.4369328446925025,183,180,183,0.8360655737704918,-0.06393442622950818,0.7718688158450847,False
global,circularity,low_resolution,0.25,0.25242161435469357,183,182,183,0.8852459016393442,-0.014754098360655776,0.48774570695571184,False
mondrian,circularity,low_resolution,0.25,0.21335860088811875,183,182,183,0.8524590163934426,-0.04754098360655745,0.42081024999087363,False
global,circularity,low_resolution,0.5,0.25242161435469357,183,182,183,0.8907103825136612,-0.00928961748633883,0.48426683432275747,False
mondrian,circularity,low_resolution,0.5,0.22095511184735428,183,182,183,0.8743169398907104,-0.025683060109289668,0.431487336656603,False
global,circularity,low_resolution,0.75,0.25242161435469357,183,182,183,0.8961748633879781,-0.0038251366120218844,0.4848305338873964,False
mondrian,circularity,low_resolution,0.75,0.22097643859071525,183,182,183,0.8688524590163934,-0.031147540983606614,0.43209507822624726,False
